PRODUTO_ID_ORIGEM,NOME_ORIGINAL,RESULTADO,PRODUTO_CONSOLIDADO,NOME_CONSOLIDADO,DUPLICADO_DE,MOTIVO,FONTE_ORIGINAL,FONTE_CONSOLIDADA,CONFIANCA,LINHA_NA_PLANILHA_ORIGINAL,OBSERVACAO,TIPO_REGISTRO
EXC-001,"BASTÃO 4,6M",MANTIDO FORA DA CARGA,,,,FONTE COMERCIAL PENDENTE,EXCEL 2026 (custo),,CONFERIR,PRODUTOS linha 2,V4: item de planilha interna sem catalogo/nota comercial e sem codigo de fabricante confirmado; nao integrar.,ORIGEM
EXC-002,BATERIA D,MANTIDO FORA DA CARGA,EXC-002,BATERIA D,,LINHA ORFA,EXCEL 2026 (custo),EXCEL 2026 (custo),ALTA,PRODUTOS linha 3,"LINHA ORFA: ""BATERIA D"": rotulo truncado, aparece UMA unica vez nas 10 abas de kit e com quantidade ZERO - nunca foi usada em kit nenhum. O custo 9.170 e o mesmo valor repetido em DB800/DB1050/C8000, apontado pela propria planilha como digitacao repetida. Nao ha produto identificavel por tras da linha",ORIGEM
EXC-003,BATERIA D1050,CONSOLIDADO EM OUTRO,DJI-026,BATERIA T55 (DB1050),DJI-026,DUPLICIDADE,EXCEL 2026 (custo),DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 4,DUPLICIDADE: BATERIA D1050 = DB1050: mesmo item. Preco diverge (9.170 x 9.050) - ver DIVERGENCIAS,ORIGEM
EXC-004,BATERIA DB2160,CONSOLIDADO EM OUTRO,DJI-023,BATERIA T100 / T70P (DB2160),DJI-023,DUPLICIDADE,EXCEL 2026 (custo),DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 5,"DUPLICIDADE: BATERIA DB2160: a vista 18.330 e faturado 18.750 identicos nas duas fontes (teste EXCEL 2026 x DJI da aba CONFERENCIA) | divergência faturado: também R$ 18.330,00",ORIGEM
EXC-005,BATERIA DB800,CONSOLIDADO EM OUTRO,DJI-024,BATERIA T25P / T25 (DB800),DJI-024,DUPLICIDADE,EXCEL 2026 (custo),DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 6,DUPLICIDADE: BATERIA DB800: mesmo item. Preco diverge (9.170 x 7.457) - ver DIVERGENCIAS,ORIGEM
EXC-006,BATERIA WB37,CONSOLIDADO EM OUTRO,DJI-081,BATERIA CONTROLE WB37,DJI-081,DUPLICIDADE,EXCEL 2026 (custo),DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 7,DUPLICIDADE: BATERIA WB37: 630 identico nas duas fontes (teste da aba CONFERENCIA),ORIGEM
EXC-007,CABO CARREGADOR BATERIA 2600W,MANTIDO FORA DA CARGA,,,,FONTE COMERCIAL PENDENTE,EXCEL 2026 (custo),,CONFERIR,PRODUTOS linha 8,V4: item de planilha interna sem catalogo/nota comercial e sem codigo de fabricante confirmado; nao integrar.,ORIGEM
EXC-008,CARREGADOR 65W,CONSOLIDADO EM OUTRO,DJI-080,FONTE 65W P/ WB37,DJI-080,DUPLICIDADE,EXCEL 2026 (custo),DJI SUBDEALER V16.2,MEDIA,PRODUTOS linha 9,"DUPLICIDADE: CARREGADOR 65W = FONTE 65W P/ WB37. O bloco Excel 2026 e comprovadamente DJI a vista (a BATERIA WB37 do mesmo bloco bate em 630 ao centavo). Item unico na linha DJI; adotado o valor do catalogo oficial (390 a vista / 450 faturado), conforme a regra de consolidacao",ORIGEM
EXC-009,CARREGADOR BATERIA C12000,CONSOLIDADO EM OUTRO,DJI-031,CARREGADOR T100 / T70P (C12000),DJI-031,DUPLICIDADE,EXCEL 2026 (custo),DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 10,"DUPLICIDADE: CARREGADOR C12000: faturado 12.500 identico; a vista 12.200 no Excel x 12.220 na DJI e inconsistencia interna do proprio Excel, ja registrada na coluna ALERTA | divergência à vista: também R$ 12.220,00; divergência faturado: também R$ 12.200,00",ORIGEM
EXC-010,CARREGADOR BATERIA C8000,CONSOLIDADO EM OUTRO,DJI-034,CARREGADOR T25P / T25 (C8000),DJI-034,DUPLICIDADE,EXCEL 2026 (custo),DJI SUBDEALER V16.2,ALTA,PRODUTOS linha 11,"DUPLICIDADE: CARREGADOR C8000: mesmo item. Preco diverge (9.170 x 8.100) - ver DIVERGENCIAS | divergência faturado: também R$ 8.170,00",ORIGEM
